,Date,Year,Month,Day,MaxTemp,MaxTempFlag,MinTemp,MinTempFlag,MeanTemp,MeanTempFlag,HeatDegDays,HeatDegDaysFlag,CoolDegDays,CoolDegDaysFlag
0,1950-01-01,1950,1,1,,,,,,,,,,
1,1950-01-02,1950,1,2,,,,,,,,,,
2,1950-01-03,1950,1,3,,,,,,,,,,
3,1950-01-04,1950,1,4,,,,,,,,,,
4,1950-01-05,1950,1,5,,,,,,,,,,
5,1950-01-06,1950,1,6,,,,,,,,,,
6,1950-01-07,1950,1,7,,,,,,,,,,
7,1950-01-08,1950,1,8,,,,,,,,,,
8,1950-01-09,1950,1,9,,,,,,,,,,
9,1950-01-10,1950,1,10,,,,,,,,,,
10,1950-01-11,1950,1,11,,,,,,,,,,
11,1950-01-12,1950,1,12,,,,,,,,,,
12,1950-01-13,1950,1,13,,,,,,,,,,
13,1950-01-14,1950,1,14,,,,,,,,,,
14,1950-01-15,1950,1,15,,,,,,,,,,
15,1950-01-16,1950,1,16,,,,,,,,,,
16,1950-01-17,1950,1,17,,,,,,,,,,
17,1950-01-18,1950,1,18,,,,,,,,,,
18,1950-01-19,1950,1,19,,,,,,,,,,
19,1950-01-20,1950,1,20,,,,,,,,,,
20,1950-01-21,1950,1,21,,,,,,,,,,
21,1950-01-22,1950,1,22,,,,,,,,,,
22,1950-01-23,1950,1,23,,,,,,,,,,
23,1950-01-24,1950,1,24,,,,,,,,,,
24,1950-01-25,1950,1,25,,,,,,,,,,
25,1950-01-26,1950,1,26,,,,,,,,,,
26,1950-01-27,1950,1,27,,,,,,,,,,
27,1950-01-28,1950,1,28,,,,,,,,,,
28,1950-01-29,1950,1,29,,,,,,,,,,
29,1950-01-30,1950,1,30,,,,,,,,,,
30,1950-01-31,1950,1,31,,,,,,,,,,
31,1950-02-01,1950,2,1,,,,,,,,,,
32,1950-02-02,1950,2,2,,,,,,,,,,
33,1950-02-03,1950,2,3,,,,,,,,,,
34,1950-02-04,1950,2,4,,,,,,,,,,
35,1950-02-05,1950,2,5,,,,,,,,,,
36,1950-02-06,1950,2,6,,,,,,,,,,
37,1950-02-07,1950,2,7,,,,,,,,,,
38,1950-02-08,1950,2,8,,,,,,,,,,
39,1950-02-09,1950,2,9,,,,,,,,,,
40,1950-02-10,1950,2,10,,,,,,,,,,
41,1950-02-11,1950,2,11,,,,,,,,,,
42,1950-02-12,1950,2,12,,,,,,,,,,
43,1950-02-13,1950,2,13,,,,,,,,,,
44,1950-02-14,1950,2,14,,,,,,,,,,
45,1950-02-15,1950,2,15,,,,,,,,,,
46,1950-02-16,1950,2,16,,,,,,,,,,
47,1950-02-17,1950,2,17,,,,,,,,,,
48,1950-02-18,1950,2,18,,,,,,,,,,
49,1950-02-19,1950,2,19,,,,,,,,,,
